"id","name","lon","lat","type"
8506013,"Aadorf",8.90329,47.48812,"Zug"
8573363,"Aadorf, Bahnhof",8.90273,47.48845,"Bus"
8576958,"Aadorf, Matthofstrasse",8.90461,47.48517,"Bus"
8506853,"Aadorf, Morgental",8.89618,47.49397,"Bus"
8573362,"Aadorf, Zentrum",8.89941,47.49107,"Bus"
8502113,"Aarau",8.05128,47.39135,"Zug"
8590257,"Aarau Rohr, Gemeindehaus",8.08493,47.40338,"Bus"
8590258,"Aarau Rohr, Quellhölzli",8.07507,47.40035,"Bus"
8590259,"Aarau Rohr, Rigistrasse",8.08059,47.40204,"Bus"
8590260,"Aarau Rohr, Salamatt",8.07214,47.39852,"Bus"
8590261,"Aarau Rohr, Unterdorf",8.08792,47.40444,"Bus"
8519685,"Aarau Torfeld",8.06265,47.39356,"Zug"
8594390,"Aarau, Aarenau",8.04914,47.40155,"Bus"
8572388,"Aarau, Aarepark",8.04133,47.39633,"Bus"
8588428,"Aarau, Achenbergstrasse",8.04608,47.39927,"Bus"
8590132,"Aarau, Allmendweg",8.03767,47.39195,"Bus"
8578645,"Aarau, Alte Badanstalt",8.03126,47.39541,"Bus"
8594929,"Aarau, Amtshaus",8.04651,47.39364,"Bus"
8502996,"Aarau, Bahnhof",8.05101,47.39186,"Bus"
8590133,"Aarau, Bavaria",8.06313,47.3903,"Bus"
8590134,"Aarau, Berufsschule",8.05504,47.39703,"Bus"
8510263,"Aarau, Binzenhof",8.05069,47.38314,"Bus"
8590135,"Aarau, Binzenhofstrasse",8.04783,47.38111,"Bus"
8590136,"Aarau, Buchenhof",8.05071,47.38754,"Bus"
8590137,"Aarau, Dammweg",8.03377,47.38591,"Bus"
8590138,"Aarau, Delfterstrasse",8.06228,47.39876,"Bus"
8590139,"Aarau, Dossenstrasse",8.04622,47.38283,"Bus"
8590140,"Aarau, Dufourstrasse",8.05251,47.38506,"Bus"
8590141,"Aarau, Friedhof",8.0468,47.38863,"Bus"
8590142,"Aarau, Gais",8.05782,47.39163,"Bus"
8590143,"Aarau, General Guisanstrasse",8.05543,47.3784,"Bus"
8590144,"Aarau, Hans Hässigstrasse",8.0506,47.38038,"Bus"
8590145,"Aarau, Heinerich-Wirri-Strasse",8.05391,47.38345,"Bus"
8590146,"Aarau, Herzogplatz",8.05559,47.38736,"Bus"
8511039,"Aarau, Hintere Bahnhofstrasse",8.05632,47.39126,"Bus"
8590147,"Aarau, Hirslanden Klinik",8.04188,47.39132,"Bus"
8578643,"Aarau, Holzmarkt",8.04553,47.39212,"Bus"
8590148,"Aarau, Ifang",8.03929,47.3881,"Bus"
8590154,"Aarau, Kantonsspital",8.06073,47.38739,"Bus"
8590150,"Aarau, Keba/Brügglifeld",8.05737,47.38152,"Bus"
8594930,"Aarau, Kettenbrücke",8.04251,47.39432,"Bus"
8578642,"Aarau, Kunsthaus",8.04624,47.39079,"Bus"
8590149,"Aarau, Käfergrund",8.05226,47.37939,"Bus"
8590160,"Aarau, Neue Kantonsschule",8.04335,47.3855,"Bus"
8590151,"Aarau, Neumattstrasse",8.0654,47.39972,"Bus"
8590152,"Aarau, Obere Vorstadt",8.04767,47.38932,"Bus"
8590153,"Aarau, Pestalozzistrasse",8.04231,47.38692,"Bus"
8578644,"Aarau, Rathaus",8.04302,47.39402,"Bus"
8589189,"Aarau, Roggenhausen",8.0368,47.38569,"Bus"
8589190,"Aarau, Schanz",8.04221,47.38899,"Bus"
8511040,"Aarau, Signalstrasse",8.04674,47.37935,"Bus"
8588427,"Aarau, Sonnmattweg",8.04314,47.39768,"Bus"
8590155,"Aarau, Tannerstrasse",8.04486,47.3843,"Bus"
8590156,"Aarau, Tellizentrum",8.05907,47.39777,"Bus"
8590157,"Aarau, Wallerplatz",8.04424,47.38213,"Bus"
8590158,"Aarau, Wasserfluhweg",8.04881,47.37887,"Bus"
8590159,"Aarau, Wöschnauring",8.03104,47.38521,"Bus"
8504404,"Aarberg",7.2787,47.04454,"Zug"
8571218,"Aarberg, Aarezelg",7.27199,47.04988,"Bus"
8571260,"Aarberg, Bernfeld",7.28453,47.04378,"Bus"
8580569,"Aarberg, Bielstr/Friedhof",7.26999,47.04439,"Bus"
8504704,"Aarberg, Bifang",7.28303,47.05095,"Bus"
